frame.number	frame.time_relative	bthci_acl.chandle	bthci_acl.src.bd_addr	bthci_acl.dst.bd_addr	btl2cap.cid	btatt.opcode	btatt.handle	btatt.starting_handle	btatt.ending_handle	btatt.group_end_handle	btatt.service_uuid16	btatt.service_uuid128	btatt.characteristic_properties	btatt.characteristic_uuid16	btatt.characteristic_uuid128	btatt.uuid16	btatt.uuid128	btatt.characteristic_configuration_client	btatt.value	_ws.col.info
46964	18895.058000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		9100	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46965	18895.146000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018					7dfc70007d1c495186aa8d9728f8d66c							9780	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
46968	18895.209000000	0x0402	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0004	0x1b	0x0104					7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46969	18895.236000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018					7dfc70007d1c495186aa8d9728f8d66c							97c0	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
46971	18895.418000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018					7dfc70007d1c495186aa8d9728f8d66c							9840	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
46972	18895.419000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018					7dfc70007d1c495186aa8d9728f8d66c							9880	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
46974	18895.449000000	0x0402	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0004	0x1b	0x0104					7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46976	18895.597000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018					7dfc70007d1c495186aa8d9728f8d66c							98c0	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
46978	18895.776000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018					7dfc70007d1c495186aa8d9728f8d66c							9900	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
46982	18895.866000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018					7dfc70007d1c495186aa8d9728f8d66c							9940	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
46984	18895.956000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018					7dfc70007d1c495186aa8d9728f8d66c							9980	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
46986	18895.959000000	0x0402	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0004	0x1b	0x0104					7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46987	18896.046000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018					7dfc70007d1c495186aa8d9728f8d66c							99c0	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
