frame.number	frame.time_relative	bthci_acl.chandle	bthci_acl.src.bd_addr	bthci_acl.dst.bd_addr	btl2cap.cid	btatt.opcode	btatt.handle	btatt.starting_handle	btatt.ending_handle	btatt.group_end_handle	btatt.service_uuid16	btatt.service_uuid128	btatt.characteristic_properties	btatt.characteristic_uuid16	btatt.characteristic_uuid128	btatt.uuid16	btatt.uuid128	btatt.characteristic_configuration_client	btatt.value	_ws.col.info
46909	18893.620000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90d66e6f2d63616368652a170a0f782d6672616d652d6f7074696f6e73120444454e592a3f0a0d43616368652d436f6e74726f6c122e6e6f2d63616368652c206e6f2d73746f72652c206d61782d6167653d302c206d7573742d726576616c69646174652a1a0a0f63662d63616368652d737461747573120744594e414d49432a85020a09ff7265706f72742d746f12f7017b2267726f7570223a2263662d6e656c222c226d61785f616765223a3630343830302c22656e64706f696e7473223a5b7b2275726c223a2268747470733a2f2f612e6e656c2e636c6f7564666c6172652e636f	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46910	18893.621000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90d76d2f7265706f72742f76343f733d68464246344c7a4e463862747431737a6b6d6e727a54494542456172794c6b3665746f6e485033764c595636774275744249554673646e6779624c427030667137253242253242386354466e5347547856724e585a4651366a4f64535a4e253242624e425945494551344e6e305456784e6432795463434637596653677473665979706d77587070533977412533442533ff44227d5d7d2a460a036e656c123f7b227265706f72745f746f223a2263662d6e656c222c22737563636573735f6672616374696f6e223a302e30312c226d61785f6167	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46911	18893.621000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90d865223a3630343830307d2a1e0a0663662d7261791214613064393363636231666533656538362d4d58502a210a16782d636f6e74656e742d747970652d6f7074696f6e7312076e6f736e6966662a250a0444617465121d5468752c203138204a756e20323032362030393a32333a343920474d542a0c0a07457870697265731201302a140a06536572766572120a636c6f7564666c6172652a2c0a0c782d726571756573742d6964121c2d63737a7868766b33383577742d2d31726b6d686b3934767463696c6f2a410a195374726963742d5472616e73706f72742d53656375726974	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46912	18893.621000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90d97912246d61782d6167653d3331353336303030203b20696e636c756465537562446f6d61696e732a180a10436f6e74656e742d456e636f64696e671204677a6970d71300	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46917	18893.886000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018					7dfc70007d1c495186aa8d9728f8d66c							94c0	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
46920	18893.949000000	0x0402	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0004	0x1b	0x0104					7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46921	18894.156000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018					7dfc70007d1c495186aa8d9728f8d66c							9500	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
46922	18894.157000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018					7dfc70007d1c495186aa8d9728f8d66c							9540	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
46924	18894.219000000	0x0402	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0004	0x1b	0x0104					7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46927	18894.336000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018					7dfc70007d1c495186aa8d9728f8d66c							95c0	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
46930	18894.459000000	0x0402	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0004	0x1b	0x0104					7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46931	18894.519000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018					7dfc70007d1c495186aa8d9728f8d66c							9600	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
46933	18894.696000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018					7dfc70007d1c495186aa8d9728f8d66c							9640	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
46936	18894.786000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x1b	0x0018					7dfc70007d1c495186aa8d9728f8d66c							9680	Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
46937	18894.787000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90da00078e0f2c87cf62010101034d2701037a0f01ff12ca4e32c74e086410c8011ad8475b7b2265706f63685365636f6e6473223a313738313737363830302c226465736372697074696f6e223a225061727a69616c6d656e7465206e75766f6c6f736f222c2274656d70223a7b2276616c7565223a33322e32323232323232323232323232322c22756e697473223a2243454c53495553227d2c2270726563697050726f62223a33302c2277696e64223a7b227370656564223a7b2276616c7565223a342e31313535322c22756e697473223a224d45544552535f5045525f5345434f4e	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
46938	18894.787000000	0x0401	00:00:00:00:00:00	00:00:00:00:00:00	0x0004	0x52	0x001b					7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9		90db44227d2c22646972656374696f6e537472696e67223a224e45222c22646972656374696f6e223a33352c2267757374ff5370656564223a7b2276616c7565223a372e373136362c22756e697473223a224d45544552535f5045525f5345434f4e44227d7d2c2269636f6e223a392c22646577506f696e74223a7b2276616c7565223a31342e3434343434343434343434343434352c22756e697473223a2243454c53495553227d2c227576496e646578223a382e3030332c2272656c617469766548756d6964697479223a33352c226665656c734c696b6554656d7065726174757265	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
