frame.number	frame.time_relative	btatt.opcode	btatt.handle	btatt.service_uuid16	btatt.service_uuid128	btatt.characteristic_properties	btatt.characteristic_uuid16	btatt.characteristic_uuid128	btatt.uuid16	btatt.uuid128	_ws.col.info
47225	18898.656000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
47228	18898.836000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
47229	18898.926000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
47234	18898.959000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47235	18899.106000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
47236	18899.107000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
47238	18899.196000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
47240	18899.199000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47243	18899.439000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47244	18899.556000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
47245	18899.557000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
47248	18899.736000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
47249	18899.739000000	0x52	0x001b		7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
47250	18899.739000000	0x52	0x001b		7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
47251	18899.740000000	0x52	0x001b		7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
47252	18899.740000000	0x52	0x001b		7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
47253	18899.741000000	0x52	0x001b		7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
47254	18899.741000000	0x52	0x001b		7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
47255	18899.741000000	0x52	0x001b		7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
47256	18899.743000000	0x52	0x001b		7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
47257	18899.745000000	0x52	0x001b		7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
47258	18899.746000000	0x52	0x001b		7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
47260	18899.918000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
47264	18899.949000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47267	18900.006000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
47268	18900.096000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
47271	18900.186000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
47273	18900.189000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47274	18900.276000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
47277	18900.366000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
47279	18900.429000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47280	18900.456000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
47282	18900.546000000	0x1b	0x0018		7dfc70007d1c495186aa8d9728f8d66c						Rcvd Handle Value Notification, Handle: 0x0018 (Unknown: Unknown)
47283	18900.653000000	0x52	0x001b		7905f431b5ce4e99a40f4b1e122d00d0					69d1d8f345e149a898219bbdfdaad9d9	Sent Write Command, Handle: 0x001b (Unknown: Unknown)
47286	18900.939000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47290	18901.179000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47293	18901.449000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47296	18901.929000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47300	18902.199000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47302	18902.439000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47377	18902.949000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47383	18903.189000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47385	18903.429000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47388	18903.939000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47390	18904.179000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47394	18904.419000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47397	18904.959000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47399	18905.199000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47403	18905.469000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47406	18905.949000000	0x1b	0x0104		7dfc90007d1c495186aa8d9728f8d66c					6e400003b5a3f393e0a9e50e24dcca9e	Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
