FILE att_latest_chandle.tsv
45369 18778.270000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x1d 0x0008  4 0a00ffff ....
46354 18870.579000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x01 0x0018  0  
46356 18870.638000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x08   0  
46357 18870.638000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x09 0x0014,0x0015,0x0017,0x0018  0  
46358 18870.699000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x04   0  
46359 18870.699000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x05 0x0016  0  
46361 18870.759000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x08   0  
46362 18870.759000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x01 0x0022  0  
46365 18870.819000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x08   0  
46366 18870.819000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x09 0x001a,0x001b,0x001d,0x001e,0x0020,0x0021  0  
46368 18870.879000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x08   0  
46369 18870.879000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x01 0x0022  0  
46370 18870.939000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x04   0  
46371 18870.939000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x05 0x001c  0  
46373 18870.999000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x04   0  
46374 18870.999000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x05 0x001f  0  
46375 18871.029000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x13 0x0105  0  
46376 18871.029000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x12 0x0102  0  
46378 18871.031000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46379 18871.059000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x04   0  
46380 18871.059000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x05 0x0022  0  
46382 18871.089000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x13 0x0105  0  
46384 18871.090000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46385 18871.103000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x12 0x0102  0  
46386 18871.119000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x08   0  
46387 18871.119000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x01 0x002e  0  
46389 18871.148000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x13 0x0105  0  
46390 18871.149000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
