frame.number	frame.time_relative	frame.len	bthci_acl.src.bd_addr	bthci_acl.dst.bd_addr	btl2cap.length	btatt.opcode	btatt.handle	btatt.value	data.data	_ws.col.info
46746	18879.039000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46747	18879.039000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46750	18879.279000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46751	18879.279000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46754	18879.789000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46755	18879.789000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46756	18880.029000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46757	18880.029000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46760	18880.299000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46761	18880.299000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46763	18880.779000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46764	18880.779000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46765	18881.019000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46766	18881.019000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46769	18881.289000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
46770	18881.289000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46772	18881.799000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
