frame.number	frame.time_relative	frame.len	bthci_acl.src.bd_addr	bthci_acl.dst.bd_addr	btl2cap.length	btatt.opcode	btatt.handle	btatt.value	data.data	_ws.col.info
47388	18903.939000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47389	18904.179000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47390	18904.179000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47393	18904.419000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47394	18904.419000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47396	18904.959000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47397	18904.959000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47398	18905.199000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47399	18905.199000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47402	18905.469000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47403	18905.469000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47405	18905.949000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47406	18905.949000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
