frame.number	frame.time_relative	bthci_evt.code	bthci_evt.le_meta_subevent	bthci_evt.connection_handle	bthci_evt.bd_addr	bthci_evt.status	_ws.col.info
44139	32473.342000000	0x3e	0x07	0x0401			Rcvd LE Meta (LE Data Length Change)
44146	32473.646000000	0x3e	0x04	0x0401		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
44691	32478.205000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
44837	32489.304000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
45019	32606.032000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
45056	32615.122000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
45280	32935.021000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
46216	32980.266000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
46448	33016.846000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
46457	33016.858000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
46465	33017.485000000	0x3e	0x0a	0x0402	c6:5e:9b:67:bf:c3	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
46478	33017.546000000	0x3e	0x07	0x0402			Rcvd LE Meta (LE Data Length Change)
46489	33017.788000000	0x3e	0x0a	0x0404	c5:8e:38:4c:d2:6e	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
46504	33017.848000000	0x3e	0x07	0x0404			Rcvd LE Meta (LE Data Length Change)
46509	33017.965000000	0x3e	0x0c	0x0402		0x00	Rcvd LE Meta (LE PHY Update Complete)
46514	33018.057000000	0x3e	0x07	0x0402			Rcvd LE Meta (LE Data Length Change)
46528	33018.240000000	0x3e	0x04	0x0402		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
46532	33018.267000000	0x3e	0x0c	0x0404		0x00	Rcvd LE Meta (LE PHY Update Complete)
46543	33018.359000000	0x3e	0x07	0x0404			Rcvd LE Meta (LE Data Length Change)
46586	33018.542000000	0x3e	0x04	0x0404		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
46667	33018.779000000	0x05		0x0402		0x00	Rcvd Disconnect Complete
46721	33018.810000000	0x3e	0x0a	0x0405	db:3d:b0:24:60:6a	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
46736	33018.871000000	0x3e	0x07	0x0405			Rcvd LE Meta (LE Data Length Change)
46747	33019.045000000	0x3e	0x03	0x0404		0x00	Rcvd LE Meta (LE Connection Update Complete)
46773	33019.289000000	0x3e	0x0c	0x0405		0x00	Rcvd LE Meta (LE PHY Update Complete)
46783	33019.383000000	0x3e	0x07	0x0405			Rcvd LE Meta (LE Data Length Change)
46807	33019.564000000	0x3e	0x04	0x0405		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
46832	33019.680000000	0x05		0x0404		0x00	Rcvd Disconnect Complete
46887	33020.226000000	0x05		0x0405		0x00	Rcvd Disconnect Complete
