frame.number	frame.time_relative	bthci_evt.code	bthci_evt.le_meta_subevent	bthci_evt.connection_handle	bthci_evt.bd_addr	bthci_evt.status	_ws.col.info
39258	18223.184000000	0x3e	0x0a	0x0402	f6:e1:f3:65:88:6e	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
39271	18223.274000000	0x3e	0x07	0x0402			Rcvd LE Meta (LE Data Length Change)
39281	18223.693000000	0x3e	0x0c	0x0402		0x00	Rcvd LE Meta (LE PHY Update Complete)
39284	18223.785000000	0x3e	0x07	0x0402			Rcvd LE Meta (LE Data Length Change)
39296	18223.999000000	0x3e	0x04	0x0402		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
39343	18224.687000000	0x05		0x0402		0x00	Rcvd Disconnect Complete
39537	18293.058000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
41752	18409.819000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
42180	18453.199000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
42735	18459.027000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
43270	18732.675000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
44521	18763.672000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
44866	18777.034000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
45169	18777.579000000	0x3e	0x0a	0x0402	70:de:f9:d6:ab:5f	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
45372	18778.271000000	0x05		0x0402		0x00	Rcvd Disconnect Complete
45385	18778.281000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
45583	18784.296000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
46204	18869.228000000	0x3e	0x0a	0x0402	70:de:f9:d6:ab:5f	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
47411	18906.791000000	0x05		0x0402		0x00	Rcvd Disconnect Complete
47423	18906.801000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
47983	18912.812000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
