frame.number	frame.time_relative	bthci_acl.src.bd_addr	bthci_acl.dst.bd_addr	btatt.handle	btatt.value	_ws.col.info
46801	18884.919000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46803	18885.129000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46805	18885.369000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46811	18885.879000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46813	18886.119000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46815	18886.389000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46820	18886.869000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46822	18887.139000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46824	18887.379000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46829	18887.919000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46831	18888.159000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46833	18888.399000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46838	18888.909000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46840	18889.179000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46842	18889.419000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46847	18889.929000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46849	18890.199000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46851	18890.439000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46856	18890.949000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46858	18891.219000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46860	18891.459000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46865	18891.969000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46867	18892.209000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46872	18892.449000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46884	18892.959000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46894	18893.199000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46903	18893.469000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46920	18893.949000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46924	18894.219000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46930	18894.459000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46960	18894.969000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46968	18895.209000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46974	18895.449000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46986	18895.959000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
46990	18896.199000000	70:de:f9:d6:ab:5f	00:00:00:00:00:00	0x0104		Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
